epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,118.235,4.01429,0.16438,0.41194,3.74892,5.51909e-05,5.51909e-05,5.51909e-05
2,232.324,3.40608,0.74462,0.93933,1.97482,0.000108663,0.000108663,0.000108663
3,344.883,1.91963,0.98434,1,0.3717,0.00015993,0.00015993,0.00015993
4,456.812,0.90631,0.99902,1,0.10197,0.00015708,0.00015708,0.00015708
5,575.853,0.60676,1,1,0.04514,0.000153774,0.000153774,0.000153774
6,686.606,0.47601,1,1,0.02696,0.000150467,0.000150467,0.000150467
7,794.113,0.45939,1,1,0.01945,0.00014716,0.00014716,0.00014716
8,900,0.39484,1,1,0.01318,0.000143854,0.000143854,0.000143854
9,1007.89,0.37627,1,1,0.01114,0.000140547,0.000140547,0.000140547
10,1115.1,0.36892,1,1,0.00973,0.000137241,0.000137241,0.000137241
11,1220.34,0.34597,1,1,0.00858,0.000133934,0.000133934,0.000133934
12,1328.13,0.31884,1,1,0.00675,0.000130627,0.000130627,0.000130627
13,1435.53,0.33018,1,1,0.00585,0.000127321,0.000127321,0.000127321
14,1541.91,0.3258,1,1,0.0048,0.000124014,0.000124014,0.000124014
15,1648.56,0.3446,1,1,0.00488,0.000120708,0.000120708,0.000120708
16,1754.39,0.30866,1,1,0.00477,0.000117401,0.000117401,0.000117401
17,1860.06,0.32542,1,1,0.00347,0.000114094,0.000114094,0.000114094
18,1968.78,0.32364,1,1,0.00376,0.000110788,0.000110788,0.000110788
19,2077.7,0.32354,1,1,0.00324,0.000107481,0.000107481,0.000107481
20,2195.47,0.32297,1,1,0.00333,0.000104175,0.000104175,0.000104175
21,2312.21,0.30244,1,1,0.00317,0.000100868,0.000100868,0.000100868
22,2423.63,0.26689,1,1,0.00259,9.75614e-05,9.75614e-05,9.75614e-05
23,2535.53,0.30562,1,1,0.00247,9.42548e-05,9.42548e-05,9.42548e-05
24,2651.42,0.29272,1,1,0.00313,9.09482e-05,9.09482e-05,9.09482e-05
25,2761.3,0.2785,1,1,0.00248,8.76416e-05,8.76416e-05,8.76416e-05
26,2867.18,0.28309,1,1,0.00242,8.4335e-05,8.4335e-05,8.4335e-05
27,2974.3,0.25897,1,1,0.00275,8.10284e-05,8.10284e-05,8.10284e-05
28,3082.12,0.26211,1,1,0.00212,7.77218e-05,7.77218e-05,7.77218e-05
29,3188.49,0.28378,1,1,0.00217,7.44152e-05,7.44152e-05,7.44152e-05
30,3296.61,0.28254,1,1,0.00249,7.11086e-05,7.11086e-05,7.11086e-05
31,3411.22,0.27382,1,1,0.00213,6.7802e-05,6.7802e-05,6.7802e-05
32,3525.08,0.26831,1,1,0.0022,6.44954e-05,6.44954e-05,6.44954e-05
33,3637.69,0.25304,1,1,0.00199,6.11888e-05,6.11888e-05,6.11888e-05
34,3751.82,0.26431,1,1,0.00219,5.78822e-05,5.78822e-05,5.78822e-05
35,3867.58,0.25138,1,1,0.00203,5.45756e-05,5.45756e-05,5.45756e-05
36,3982.07,0.27733,1,1,0.00178,5.1269e-05,5.1269e-05,5.1269e-05
37,4096.71,0.24452,1,1,0.00161,4.79624e-05,4.79624e-05,4.79624e-05
38,4212.61,0.2542,1,1,0.00183,4.46558e-05,4.46558e-05,4.46558e-05
39,4330.62,0.27309,1,1,0.00188,4.13492e-05,4.13492e-05,4.13492e-05
40,4440.77,0.25361,1,1,0.00172,3.80426e-05,3.80426e-05,3.80426e-05
41,4550.02,0.24171,1,1,0.00163,3.4736e-05,3.4736e-05,3.4736e-05
42,4668.4,0.24683,1,1,0.00157,3.14294e-05,3.14294e-05,3.14294e-05
43,4787.65,0.25826,1,1,0.0019,2.81228e-05,2.81228e-05,2.81228e-05
44,4910.78,0.25939,1,1,0.00184,2.48162e-05,2.48162e-05,2.48162e-05
45,5031.4,0.25432,1,1,0.00183,2.15096e-05,2.15096e-05,2.15096e-05
46,5144.51,0.24282,1,1,0.0017,1.8203e-05,1.8203e-05,1.8203e-05
47,5258.77,0.2543,1,1,0.00192,1.48964e-05,1.48964e-05,1.48964e-05
48,5370.85,0.24973,1,1,0.00166,1.15898e-05,1.15898e-05,1.15898e-05
49,5487.89,0.24088,1,1,0.00172,8.2832e-06,8.2832e-06,8.2832e-06
50,5608.08,0.23744,1,1,0.00175,4.9766e-06,4.9766e-06,4.9766e-06
